episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.45235954801319167,True,False
2,460.0,702,1087,0.2,0.02597915856908499,2.5514396450016648,True,False
3,430.0,506,1593,0.2,0.027946307012668304,11.91023856701213,True,False
4,380.0,514,2107,0.2,0.026282209907776632,20.580187705985736,True,False
5,180.0,443,2550,0.2,0.028158962364761612,29.67390798201086,True,False
6,510.0,534,3084,0.2,0.02711694804954155,39.13266184099484,True,False
7,350.0,470,3554,0.2,0.02831961054048445,47.15548501399462,True,False
8,510.0,601,4155,0.2,0.029635566968936475,57.86167064899928,True,False
9,580.0,737,4892,0.2,0.027988338019900225,70.35779340800946,True,False
10,860.0,784,5676,0.2,0.027803314944470244,88.60350945699611,True,False
11,850.0,637,6313,0.2,0.03560222023490336,101.53351434899378,True,False
12,200.0,403,6716,0.2,0.03625159688515238,108.71823999800836,True,False
13,1230.0,978,7694,0.2,0.03786105025258129,126.29967400999158,True,False
14,1010.0,784,8478,0.2,0.03620703179835893,140.1413675879885,True,False
15,490.0,570,9048,0.2,0.0367833934952277,155.53471019200515,True,False
16,490.0,487,9535,0.2,0.037554492731386224,165.4609800039907,True,False
17,530.0,558,10093,0.2,0.03928872449822458,175.98716935500852,True,False
18,460.0,582,10675,0.2,0.041282971375140136,188.03641833199072,True,False
19,670.0,605,11280,0.2,0.03940383329570882,199.2134989250044,True,False
20,4040.0,789,12069,0.2,0.04257588928120996,213.72906473299372,True,False
21,660.0,549,12618,0.2,0.04052034093842019,224.56262676499318,True,False
22,410.0,417,13035,0.2,0.045932465633646086,234.9723369689891,True,False
23,370.0,461,13496,0.2,0.04022454123157237,247.8453707380104,True,False
24,710.0,770,14266,0.2,0.04291777861484055,265.1941648859938,True,False
25,640.0,662,14928,0.2,0.04827785668389715,281.05973999699927,True,False
